"action","role","level","current layer","domain","lifecycle","findings","proposal families","contract","review"
"createCanvas","Canvas·plot bounds","H2–H3","user-facing","core","Mutable resource","D17","F18","agent_docs/contract/current/CORE.md:5","고정 margin과 자동 guide layout의 책임을 명시."
"editCanvas","Canvas·plot bounds","H2–H3","user-facing","core","Mutable resource","D17","F18","agent_docs/contract/current/CORE.md:49","고정 margin과 자동 guide layout의 책임을 명시."
"createData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:81","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"filterData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:116","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createDensityData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:211","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createRegressionData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:160","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createWindowData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:357","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createTimeUnitData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:314","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createBin2DData","원본·파생 데이터","H2","user-facing","core","Mutable resource","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:407","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"editBin2DData","원본·파생 데이터","H2","user-facing","core","Mutable resource","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:462","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createIntervalData","통계 데이터","H2","user-facing","statistics","Immutable create-only","D11 D12","F10 F15 F16","agent_docs/contract/current/STATISTICS.md:5","공통 interval의 계산 방법·명명·입력/출력 grain을 유지/명시."
"createPointMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:34","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createTickMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:111","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
